US_Chart - Current R&B/Hip-Hop Albums,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,week_of
Rank,Album,Artist,Label Description,Label,Peak Position,Last Week Rank,Last 2 Week Rank,Weeks On Chart,TW Sales,% CHG,LW Sales,RTD Sales,2023.06.29
145,Deathfame,Quelle Chris,MELLOMUSICGROUP,MEUP,99,,,1,32,100.0,16,427,2023.06.29
145,Public Displays Of Affection: The Album,Muni Long,DEF JAM,DEF,39,132,127,36,32,-15.8,38,2338,2023.06.29
145,"Yours, Saintly",Saint Smith,,,95,,,1,32,999.0,2,101,2023.06.29
148,Summer Of Soul,Various Artists,SME/LEGACY RECORDINGS,LEGC,5,115,117,74,31,-31.1,45,24654,2023.06.29
148,I Am Controlled By Your Love,Helene Smith,Numero Group,NUM,120,,122,3,31,675.0,4,120,2023.06.29
148,Only Built For Infinity Links,Quavo & Takeoff,"QUALITY CONTROL MUSIC, LLC",QCM,7,151,122,36,31,6.9,29,6263,2023.06.29
151,Breezy,Chris Brown, RCA,RCA ,5,103,151,53,30,-48.3,58,15145,2023.06.29
151,Pioneer,Upchurch, INDEPENDENT LABEL SUBMISSION,INDI,4,141,127,16,30,-9.1,33,3814,2023.06.29
151,This Must Be The Place,Apollo Brown,MMGZ,MMGZ,66,173,,9,30,25.0,24,771,2023.06.29
151,Sage Motel,Monophonics & Kelly Finnigan,Colemine Records,COLR,2,194,,54,30,57.9,19,7555,2023.06.29
155,On Top Of The Covers,T-Pain, EMPIRE DISTRIBUTION,EMPI,11,42,52,15,29,-89.5,275,2991,2023.06.29
155,Red Balloon,Tank & The Bangas,VERVE,VERV,6,115,130,4,29,-35.6,45,6220,2023.06.29
157,Marvelous,Yung Gravy,REPUBLIC RECORDS,R-RR,15,94,,2,28,-59.4,69,4028,2023.06.29
157,Music To Make Love To Your Old,"Merriweather,Nathaniel& Lovag",BULK RECORDINGS-BKR,BKR ,47,,,1,28,999.0,1,1630,2023.06.29
159,Timing Means Everything - Ep,"Too Many Egos, Mike Bell Tme, Lj, Chas3 Morgan",,,159,,,1,27,,0,27,2023.06.29
159,Spin The Globe,Connor Price, INDEPENDENT LABEL SUBMISSION,INDI,67,137,141,17,27,-22.9,35,925,2023.06.29
159,Based On A Feeling,Sabrina Claudio,ATLANTIC GROUP,ATLG,14,137,125,5,27,-22.9,35,2283,2023.06.29
159,Soul & Science,Nickodemus,,,159,,,1,27,,0,27,2023.06.29
159,Time Change(3lp/Ex),Ella Mai,INTERSCOPE/GEFFEN/A&M,INT ,11,,181,5,27,145.5,11,3751,2023.06.29
164,Wolves & White T's,"Travis Thompson, Jake One",,,164,,,1,25,,0,25,2023.06.29
164,Burrito Beats,Esoteric,,,164,,,1,25,,0,25,2023.06.29
164,"Yo! Boombox - Early Independent Hip Hop, Electro And Disco Rap 1979-83",Soul Jazz Records Presents,SOCIALDISEASERECORDS,SODS,56,161,70,4,25,-10.7,28,259,2023.06.29
164,The Brave,Tom Macdonald & Adam Calhoun, INDEPENDENT LABEL SUBMISSION,INDI,1,151,181,69,25,-13.8,29,26510,2023.06.29
164,Split Decision,"Dave, Central Cee",UMGRI INTERSCOPE,INT,86,173,141,4,25,4.2,24,153,2023.06.29
