US_Chart - R&B/Hip-Hop On-Demand Overall Streaming (weekly),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,week_of
Rank,Song,Artist,Label Description,Label,Peak Position,Last Week Rank,Last 2 Week Rank,Weeks On Chart,TP Overall,% CHG,LP Overall,TP Audio,TP Video,YTD Overall,ATD Overall,2024.10.31
129,Stretch My Hands Pt.1,Kanye West,DEF JAM RECORDINGS,DEF ,5,111,131,124,3614165,-2.6,3711885,3531029,83136,186474306,1067291727,2024.10.31
130,All Falls Down,Kanye West,DEF JAM RECORDINGS,DEF ,52,102,122,58,3609142,-6.7,3868614,3453279,155863,149018119,710781514,2024.10.31
131,2 Slippery (Feat. Bossman Dlow,Luh Tyler,ATLANTIC GROUP,ATLG,50,106,109,13,3597469,-5.5,3808405,3256602,340867,50693171,50693171,2024.10.31
132,One Dance,Drake Feat. WizKid & Kyla,CASH MONEY / REPUBLIC RECORDS,R-RR,1,125,132,220,3591113,0.6,3570143,3474375,116738,189845604,1791282948,2024.10.31
133,Sum 2 Prove,Lil Baby,"QUALITY CONTROL MUSIC, LLC",QCM,4,129,144,251,3564706,1.0,3530141,3321568,243138,161668063,1172026691,2024.10.31
134,Power Trip,J. Cole Feat. Miguel,INTERSCOPE/GEFFEN/A&M,INT ,49,128,154,154,3561450,0.5,3544560,3406083,155367,180992118,1052032712,2024.10.31
135,Gangsta's Paradise,Coolio Feat. L.V.,INTERSCOPE/GEFFEN/A&M,INT ,6,130,139,205,3559393,1.0,3522900,2792749,766644,170349757,1474029186,2024.10.31
136,THE SPINS,Mac Miller,"ROSTRUM RECORDS, LLC",RTUM,56,126,137,110,3556299,-0.3,3567695,3513074,43225,166810009,658477873,2024.10.31
137,Sativa,Jhene Aiko Feat. Rae Sremmurd,DEF JAM RECORDINGS,DEF ,62,141,162,129,3553125,3.5,3431929,3120198,432927,176736304,1167449462,2024.10.31
138,Ric Flair Drip,Offset & Metro Boomin,EPIC,EPIC,6,114,142,250,3539712,-3.7,3675983,3384911,154801,167599063,1849911277,2024.10.31
139,On One Tonight,Gunna,300 ENTERTAINME,300E,17,118,184,16,3526917,-2.8,3627422,3384547,142370,92036244,92036244,2024.10.31
140,Girls Need Love,Summer Walker & Drake,INTERSCOPE/GEFFEN/A&M,INT ,18,156,157,212,3494327,5.2,3320695,3309544,184783,150765129,1290748887,2024.10.31
141,The Real Slim Shady,Eminem,INTERSCOPE/GEFFEN/A&M,INT ,9,115,123,183,3443780,-5.9,3660888,3054288,389492,172655045,1374758021,2024.10.31
142,Procedure,Glorilla,INTERSCOPE/GEFFEN/A&M,INT ,49,71,49,3,3440508,-19.5,4271843,3127966,312542,13236782,13236782,2024.10.31
