US_Chart - Pop On-Demand Overall Streaming (weekly),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,week_of
Rank,Song,Artist,Label Description,Label,Peak Position,Last Week Rank,Last 2 Week Rank,Weeks On Chart,TP Overall,% CHG,LP Overall,TP Audio,TP Video,YTD Overall,ATD Overall,2023.06.22
130,We Found Love,Rihanna Feat. Calvin Harris,DEF JAM RECORDINGS,DEF ,18,92,109,110,2943707,-13.1,3387337,2748875,194832,84215384,634091988,2023.06.22
131,Late Night Talking,Harry Styles,COLUMBIA,COL,2,139,130,57,2900332,2.4,2832418,2818162,82170,91376247,335958544,2023.06.22
132,Blue Hair,TV Girl,,,61,110,89,16,2899594,-8.2,3158671,2570898,328696,64140071,68987117,2023.06.22
133,drivers license,Olivia Rodrigo,INTERSCOPE/GEFFEN/A&M,INT ,1,148,141,128,2865267,3.5,2768175,2235034,630233,76137595,1066473106,2023.06.22
134,Stereo Hearts,Gym Class Heroes,Universal Music Enterprises,UME ,28,120,161,133,2858441,-5.1,3010502,1607633,1250808,76278760,726737986,2023.06.22
135,"You're On Your Own, Kid",Taylor Swift,REPUBLIC RECORDS,R-RR,7,101,111,35,2841314,-13.3,3276352,2706880,134434,82008564,193701225,2023.06.22
136,Call Me Maybe,Carly Rae Jepsen,INTERSCOPE/GEFFEN/A&M,INT ,37,147,132,254,2823588,1.7,2777180,2069624,753964,67689463,888041046,2023.06.22
137,Toxic,Britney Spears, RCA,RCA,52,172,194,251,2818140,8.5,2598091,1832910,985230,61594054,794179788,2023.06.22
138,Ocean Eyes,Billie Eilish,INTERSCOPE/GEFFEN/A&M,INT ,14,149,147,300,2810764,1.9,2758581,2446999,363765,73461815,1317742930,2023.06.22
139,Runaway,Aurora,THE ORCHARD,ORCH,10,170,126,89,2807160,7.4,2612540,1061219,1745941,63740443,432940959,2023.06.22
140,The 1,Taylor Swift,UNIVERSAL MUSIC ENTERPRISES,UME ,2,117,164,43,2800779,-8.6,3062856,2739041,61738,49039372,335385653,2023.06.22
141,California Gurls,Katy Perry Feat. Snoop Dogg,CAPITOL MUSIC GROUP,CAP ,116,158,143,100,2788356,2.8,2713566,2162825,625531,60547953,578455743,2023.06.22
142,Miss Americana & The Heartbreak Prince,Taylor Swift,REPUBLIC RECORDS,R-RR,11,155,134,17,2779887,2.0,2725683,2704082,75805,45001154,164023883,2023.06.22
143,Worth It,Fifth Harmony Feat. Kid Ink,Watertower Music,WTM,18,0,0,196,2776715,122.9,1245789,772402,2004313,31950175,915710820,2023.06.22
144,Vegas (From The Original Motion Picture Soundtrack Elvis),Doja Cat, RCA,RCA,3,150,152,59,2774175,0.9,2748120,2357715,416460,102848524,361105238,2023.06.22
145,Someone Like You,Adele,Universal Music Enterprises,UME ,22,161,158,392,2772370,2.5,2704700,2360092,412278,73549111,1128394527,2023.06.22
146,Vigilante Shit,Taylor Swift,REPUBLIC RECORDS,R-RR,9,119,90,30,2762631,-8.6,3021925,2518398,244233,73081637,172854033,2023.06.22
147,Pov,Ariana Grande,REPUBLIC RECORDS,R-RR,5,0,0,63,2762573,219.4,864826,766663,1995910,26634102,326168513,2023.06.22
148,Happy,Nf,NF REAL MUSIC,NFRM,14,138,148,11,2742424,-3.3,2837292,2418602,323822,44116538,44116538,2023.06.22
149,Rolling In The Deep,Adele,Columbia Records,COL ,30,184,170,309,2740940,8.5,2527048,2249578,491362,66239906,895434102,2023.06.22
