US_Chart - Rock On-Demand Overall Streaming (weekly),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,week_of
Rank,Song,Artist,Label Description,Label,Peak Position,Last Week Rank,Last 2 Week Rank,Weeks On Chart,TP Overall,% CHG,LP Overall,TP Audio,TP Video,YTD Overall,ATD Overall,2023.06.22
128,POUR SOME SUGAR ON ME,Def Leppard,ISLAND,ISL ,37,125,118,241,2598517,-2.5,2664492,2373016,225501,58933838,567976860,2023.06.22
129,Gilded Lily,Cults, INDEPENDENT LABEL SUBMISSION,INDI,23,0,0,33,2589207,27.5,2030397,1431450,1157757,84009425,127456109,2023.06.22
130,Under Pressure,Queen & David Bowie,SONY/COLUMBIA,COL,3,162,117,359,2587670,9.0,2373405,2495636,92034,59819399,801696622,2023.06.22
131,Welcome To The Jungle,Guns N' Roses,INTERSCOPE/GEFFEN/A&M,INT ,26,142,122,395,2582048,2.8,2512136,2308708,273340,61373247,766491177,2023.06.22
132,House Of The Rising Sun,Animals,ABKCO,ABK ,45,144,126,370,2567836,2.6,2503587,2193640,374196,67056366,712867302,2023.06.22
133,Do I Wanna Know?,Arctic Monkeys,DOMINO,DOMI,24,127,115,395,2567198,-2.8,2641723,2264985,302213,69400988,827445762,2023.06.22
134,Baptized And Buried,Will Harrison,,,39,39,0,2,2563189,-40.5,4310152,16472,2546717,7943907,7991753,2023.06.22
135,Bad Moon Rising,Creedence Clearwater Revival,CRAFT RECORDINGS,CRFT,37,147,138,269,2556041,4.0,2457896,2454552,101489,55228473,576230531,2023.06.22
136,Go Your Own Way,Fleetwood Mac,WARNER RECORDS,WAR ,47,141,123,177,2555378,1.0,2528880,2505901,49477,55273474,536100983,2023.06.22
137,Ho Hey,Lumineers,CAPITOL MUSIC GROUP,CAP ,37,149,120,381,2544643,4.0,2446711,2185219,359424,67689713,710208325,2023.06.22
138,Scar Tissue,Red Hot Chili Peppers,WARNER RECORDS,WAR ,97,146,130,221,2532982,2.3,2476835,2359757,173225,59281310,560304962,2023.06.22
139,Spit In My Face!,Thxsomch, ELEKTRA ,ELEK,16,129,106,33,2507430,-3.7,2604593,2106289,401141,103642926,137055214,2023.06.22
140,Everywhere,Fleetwood Mac,WARNER RECORDS,WAR ,83,138,137,37,2504907,-1.4,2539438,2285574,219333,59169429,332616430,2023.06.22
141,In The Air Tonight,Phil Collins,ATLANTIC GROUP,ATLG,4,128,135,395,2486388,-5.2,2623463,2240322,246066,60664360,781838842,2023.06.22
142,My Songs Know What You Did In The Dark (Light Em Up),Fall Out Boy,ISLAND,ISL ,19,87,146,249,2477689,-22.3,3190097,1376938,1100751,52920640,723065998,2023.06.22
143,Eyes Without A Face,Billy Idol,CAPITOL MUSIC GROUP,CAP ,143,174,181,5,2476056,8.5,2281375,2024037,452019,38286550,186058268,2023.06.22
144,Listen To The Music,Doobie Brothers,WARNER RECORDS,WAR ,77,171,141,108,2468867,7.6,2294634,2375174,93693,52918639,481903659,2023.06.22
145,Just Pretend,Bad Omens, SUMERIAN RECORDS,SUME,90,151,159,35,2466483,1.7,2425388,2152159,314324,58496179,92209374,2023.06.22
146,Electric Love,BORNS,INTERSCOPE/GEFFEN/A&M,INT ,1,180,151,339,2460993,9.9,2239451,2057926,403067,58819375,811976015,2023.06.22
