Rank,Song,Artist,Label Description,Label,Peak Position,Last Week Rank,Last 2 Week Rank,Weeks On Chart,TP Overall,% CHG,LP Overall,TP Audio,TP Video,YTD Overall,ATD Overall,week_of
132,Shadow,Smithmane Onimxru,,,2,123,95,42,858721,-6.4,917627,508966,349755,25613571,59904298,2023.06.22
133,Head & Heart,Joel Corry X Mnek,SME/LEGACY RECORDINGS,LEGC,1,130,133,155,852101,-1.7,866638,827881,24220,21000481,238752957,2023.06.22
134,Do It To It,Acraze Feat. Cherish,"THRIVE MUSIC, LLC",TMU,1,120,114,91,848199,-8.9,931011,726475,121724,28397460,197342171,2023.06.22
135,Scary,Background Sounds,,,40,0,0,5,845024,205.3,276747,509,844515,8491749,8951860,2023.06.22
136,Canstopwheniwant (John Tejada,Touane,,,136,,,1,819938,520.3,132178,1,819937,952116,952156,2023.06.22
137,Symphony,Clean Bandit,ATLANTIC GROUP,ATLG,9,151,143,327,813863,6.8,761930,652427,161436,21050548,498018004,2023.06.22
138,Love Tonight,Shouse,INGROOVES,INGV,16,134,138,106,812781,-3.7,844224,792426,20355,22014842,133814827,2023.06.22
139,How Deep Is Your Love,"Disciples , Calvin Harris",Columbia Records,COL ,4,139,141,395,804144,-0.2,806150,732581,71563,19969872,511843473,2023.06.22
140,Massive,Drake,OVO / REPUBLIC RECORDS,R-RR,1,147,151,53,796854,3.1,773235,762049,34805,20816526,112762787,2023.06.22
141,Afraid To Feel,Lf System,,,18,173,0,44,794374,17.7,674915,484899,309475,22690970,48869686,2023.06.22
142,Good Things Fall Apart,Illenium Feat. Jon Bellion,ASTRALWERKS,ASTW,9,161,165,212,783546,8.3,723233,755451,28095,17746931,327190177,2023.06.22
143,Past Lives,Martin Arteta,,,143,,,1,777270,19.5,650495,405562,371708,13321623,24007306,2023.06.22
144,Sugar,Robin Schulz,ATLANTIC GROUP,ATLG,4,136,129,383,776934,-6.2,827955,693980,82954,17989694,347891673,2023.06.22
145,B.O.T.A. (Baddest Of Them All),Eliza Rose & Interplanetary Criminal,ATLANTIC,ATLG,6,135,144,43,774457,-6.9,831898,493134,281323,31112295,74446041,2023.06.22
146,Virtual Insanity,Jamiroquai,EPIC,EPIC,62,150,136,21,772681,1.3,762502,497967,274714,20726613,90785817,2023.06.22
147,Aglow Looped + Eq,Karamel Kel,,,59,143,59,6,771538,-2.5,791369,16950,754588,7559240,8276465,2023.06.22
148,Cold Water,Major Lazer,THE ORCHARD,ORCH,1,145,145,361,770257,-1.6,782616,720212,50045,17834415,778897834,2023.06.22
149,Where Them Girls At,David Guetta,ATLANTIC GROUP,ATLG,23,148,155,225,769689,-0.2,770939,727712,41977,19117252,206968740,2023.06.22
150,Bad Memories,MEDUZA x James Carter Feat. Elley Duhe & FASTBOY,REPUBLIC RECORDS,R-RR,79,149,147,48,758398,-1.2,767731,740384,18014,20595248,38531076,2023.06.22
151,Prayer in C,Lilly Wood & The Prick,ATLANTIC GROUP,ATLG,51,166,172,359,755140,7.0,705772,675790,79350,15737352,276258593,2023.06.22
152,Dancing In The Moonlight,Jubel Feat. Neimy,GOOD SOLDIER,GDSL,8,154,150,148,752084,-0.3,754105,743359,8725,18163473,163354769,2023.06.22
153,Treehouse,Alex G,,,153,158,157,9,741612,1.4,731015,722592,19020,15966066,38342157,2023.06.22
154,Wannabe,Why Mona,,AWAL,28,186,0,58,736654,17.6,626265,144326,592328,21040367,91648109,2023.06.22
155,Sweet Nothing,Calvin Harris Feat. Florence W,CAPITOL MUSIC GROUP,CAP ,70,152,156,322,735133,-2.9,757360,706308,28825,17747166,244311993,2023.06.22
156,West End Girls,Pet Shop Boys, WAR - PARLOPHONE,WAR ,119,160,170,177,733559,1.1,725800,633897,99662,17190226,176922187,2023.06.22
157,Blame,Calvin Harris Feat. John Newman,SONY/COLUMBIA,COL,24,157,163,369,732247,0.1,731573,683688,48559,17013343,321779094,2023.06.22
158,Axel F,Crazy Frog,REPUBLIC RECORDS,R-RR,14,125,130,394,731539,-19.8,911909,272002,459537,22615637,470257945,2023.06.22
159,Eat Your Man (With Nelly Furtado),Dom Dolla,,,85,133,85,3,729265,-14.4,851612,717451,11814,2797420,2797420,2023.06.22
160,Lady (Hear Me Tonight),Modjo,INTERSCOPE/GEFFEN/A&M,INT ,15,153,149,152,723305,-4.4,756515,667392,55913,20728875,145072872,2023.06.22
161,Chills (La Hills),Tiesto,ATLANTIC GROUP,ATLG,45,190,179,9,722690,16.4,620644,721281,1409,8864023,8864023,2023.06.22
162,Middle,Dj Snake,INTERSCOPE/GEFFEN/A&M,INT ,3,155,164,395,722249,-2.1,737382,656527,65722,17020399,575512711,2023.06.22
163,Never Forget You,Zara Larsson & Mnek,EPIC,EPIC,2,162,158,395,715776,-0.8,721523,662198,53578,19032556,673101197,2023.06.22
164,Ferrari,James Hype Feat. Miggy Dela Rosa,REPUBLIC RECORDS,R-RR,41,156,161,56,715326,-3.0,737777,691496,23830,20343998,53138515,2023.06.22
