Rank,Song,Artist,Label Description,Label,Peak Position,Last Week Rank,Last 2 Week Rank,Weeks On Chart,Genre,Release Date,TW Total Activity,% Chg Total Activity,LW Total Activity,TW Song Sales,TW On-Demand Audio Streams,TW On-Demand Video Streams,TW Total SES (Audio + Video),week_of
154,Wild As Her,Corey Kent,RCA NASHVILLE,RCNA,51,185,130,51,Country,03/04/2022,33355,6.5,31311,317,4248878,241394,33038,2023.06.22
155,Broadway Girls,Lil Durk Feat. Morgan Wallen,Alamo Records,ALAM,7,144,152,56,R&B/Hip-Hop,12/17/2021,33350,-2.6,34224,370,4266559,470040,32980,2023.06.22
156,Everything I Love,Morgan Wallen,MERCURY / BIG LOUD / REPUBLIC RECORDS,R-MR,11,156,141,21,Country,01/30/2023,33339,-1.6,33888,296,4258581,91517,33043,2023.06.22
157,Bury Me In Georgia,Kane Brown,RCA NASHVILLE,RCNA,157,177,175,4,Country,07/22/2022,33269,5.1,31669,2239,3971854,139467,31030,2023.06.22
158,Mourning,Post Malone,MERCURY / REPUBLIC RECORDS,R-MR,24,125,101,5,Pop,05/18/2023,33190,-9.3,36578,1610,4003888,97779,31580,2023.06.22
159,Enchanted,Taylor Swift,BIG MACHINE,BGMA,26,151,153,15,Country,10/11/2010,33167,-2.6,34042,556,4378263,230865,32611,2023.06.22
160,Snow On The Beach,Taylor Swift Feat. Lana Del Rey,REPUBLIC RECORDS,R-RR,4,124,92,14,Pop,10/20/2022,33061,-9.6,36579,341,4285329,68126,32720,2023.06.22
161,Circles,Post Malone,REPUBLIC RECORDS,R-RR,1,171,154,193,Pop,08/30/2019,32997,1.9,32373,446,4162952,382604,32551,2023.06.22
162,Party In The U.S.A.,Miley Cyrus,HOLLYWOOD RECORDS,HOL ,52,173,150,45,Pop,02/10/2009,32986,2.0,32344,668,4179046,385145,32318,2023.06.22
163,I Wrote The Book,Morgan Wallen,MERCURY / BIG LOUD / REPUBLIC RECORDS,R-MR,13,148,149,21,Country,01/28/2023,32954,-3.4,34115,586,4136664,193546,32368,2023.06.22
164,Ocean Spray,Moneybagg Yo,INTERSCOPE/GEFFEN/A&M,INT ,60,98,60,4,R&B/Hip-Hop,02/03/2018,32881,-17.6,39913,73,4176566,434723,32808,2023.06.22
165,Hotel California,Eagles,ELEKTRA ENTERTA,EEG,53,149,171,142,Rock,07/11/1980,32849,-3.7,34103,520,4012109,578316,32329,2023.06.22
166,Que Vuelvas,Carin Leon & Grupo Frontera,SONY MUSIC LATIN,SML ,28,167,164,27,Latin,12/09/2022,32726,-0.8,32976,209,4198747,1042022,32517,2023.06.22
167,The Color Violet,Tory Lanez,,,54,160,183,39,R&B/Hip-Hop,12/10/2021,32615,-2.8,33566,85,4361717,133635,32530,2023.06.22
168,I'm Geekin,Ddg,EPIC,EPIC,168,,,1,R&B/Hip-Hop,04/14/2023,32404,,,162,4393212,946821,32242,2023.06.22
169,Puffin On Zootiez,Future,EPIC,EPIC,2,169,169,57,R&B/Hip-Hop,04/27/2022,32220,-1.0,32551,33,4293126,278868,32187,2023.06.22
170,7 Summers,Morgan Wallen,BIG LOUD / REPUBLIC RECORDS,R-RR,3,179,,54,Country,08/13/2020,32158,1.7,31624,321,4162291,164640,31837,2023.06.22
171,I Was Just Thinking,Gunna,300 ENTERTAINME,300E,171,,,1,R&B/Hip-Hop,06/16/2023,32140,,,40,3881779,653282,32100,2023.06.22
172,Murder On My Mind,Ynw Melly,300 ENTERTAINME,300E,5,,,62,R&B/Hip-Hop,06/01/2018,32057,,,268,4653786,41929,31789,2023.06.22
173,People,Libianca, RCA,RCA,110,165,156,18,World Music,12/05/2022,32051,-3.2,33105,447,3966029,685428,31604,2023.06.22
174,Eyes Closed,Ed Sheeran,ATLANTIC GROUP,ATLG,36,164,163,13,Pop,03/09/2023,31934,-3.7,33171,2279,3797576,169147,29655,2023.06.22
175,Pound Town,Sexyy Red,Vydia,VYD,64,132,71,4,R&B/Hip-Hop,01/27/2023,31850,-10.2,35479,944,3882144,811620,30906,2023.06.22
176,Mona Lisa (Spider-Man: Across The Spider-Verse),Dominic Fike,SONY/COLUMBIA,COL,174,174,,2,Pop,06/02/2023,31828,-1.1,32179,293,4182265,112563,31535,2023.06.22
177,"To Summer, From Cole",Summer Walker,INTERSCOPE/GEFFEN/A&M,INT ,52,130,142,5,R&B/Hip-Hop,05/19/2023,31819,-10.5,35555,279,3952784,219719,31540,2023.06.22
178,Man Made A Bar,Morgan Wallen,MERCURY / BIG LOUD / REPUBLIC RECORDS,R-MR,10,168,165,16,Country,03/03/2023,31788,-3.1,32799,276,4036999,107559,31512,2023.06.22
179,All Your'N,Tyler Childers, RCA,RCA,144,175,,9,Country,02/09/2019,31520,-1.5,32011,674,3974559,163322,30846,2023.06.22
180,Humble.,Kendrick Lamar,INTERSCOPE/GEFFEN/A&M,INT ,1,186,178,179,R&B/Hip-Hop,03/30/2017,31444,0.5,31303,148,4155188,203909,31296,2023.06.22
181,Sand In My Boots,Morgan Wallen,BIG LOUD / REPUBLIC RECORDS,R-RR,6,190,179,118,Country,01/08/2021,31364,1.4,30931,510,4077581,177663,30854,2023.06.22
182,Johnny Dang,"Drodi, Paul Wall, That Mexican Ot",,,182,193,,2,R&B/Hip-Hop,05/22/2023,31312,1.9,30720,499,4114958,162625,30813,2023.06.22
183,Feathered Indians,Tyler Childers,HICKMAN HOLLER RECORDS,HICK,164,184,193,8,Country,06/01/2017,31117,-0.9,31391,303,4011455,127284,30814,2023.06.22
184,Love Me,Lil Wayne Feat. Drake & Future,CASH MONEY,R-CM,134,172,177,27,R&B/Hip-Hop,10/11/2010,31052,-4.0,32348,91,4065723,551859,30961,2023.06.22
185,What It Is (Block Boy),Doechii & Kodak Black,,,185,,,1,R&B/Hip-Hop,03/17/2023,31047,,,790,3901475,536651,30257,2023.06.22
186,Shake Sumn,DaBaby,,,78,154,129,7,R&B/Hip-Hop,04/29/2023,31035,-8.7,33976,396,3966267,742444,30639,2023.06.22
187,Everlong,Foo Fighters, RCA,RCA,106,176,180,35,Rock,09/16/2003,30890,-2.5,31692,301,3987366,300845,30589,2023.06.22
188,Passionfruit,Drake,CASH MONEY / REPUBLIC RECORDS,R-RR,1,181,187,67,R&B/Hip-Hop,03/17/2017,30826,-2.2,31530,94,4017069,300149,30732,2023.06.22
189,Bitch Let's Do It,Youngboy Never Broke Again,,,49,170,138,6,R&B/Hip-Hop,05/12/2023,30566,-5.7,32424,80,3899944,1430154,30486,2023.06.22
190,Heading South,Zach Bryan, WARNER Records,WAR ,142,188,184,7,Country,09/30/2019,30555,-1.9,31150,203,4022784,138747,30352,2023.06.22
191,Stay,The Kid LAROI & Justin Bieber,Columbia Records,COL ,1,196,176,99,Pop,06/07/2021,30484,0.2,30421,313,3893277,402649,30171,2023.06.22
192,Have You Ever Seen The Rain?,Creedence Clearwater Revival,CRAFT RECORDINGS,CRFT,138,,,3,Rock,10/24/1986,30452,,,437,3797013,460154,30015,2023.06.22
193,Forever After All,Luke Combs,COLUMBIA NASHVILLE,CLNV,2,178,199,120,Country,11/08/2019,30364,-4.0,31637,437,3844825,319731,29927,2023.06.22
194,Knife Talk,Drake Feat. 21 Savage & Project Pat,OVO / REPUBLIC RECORDS,R-RR,2,183,181,91,R&B/Hip-Hop,09/03/2021,30275,-3.7,31443,91,4027499,256380,30184,2023.06.22
195,All Too Well (Taylor's Version),Taylor Swift,REPUBLIC RECORDS,R-RR,1,192,190,44,Country,11/12/2021,30203,-1.8,30744,519,3856189,196746,29684,2023.06.22
196,Amargura,Karol G,UNIVERSAL MUSIC LATIN,UMLE,165,,174,5,Latin,02/24/2023,30196,,,225,3591443,1175758,29971,2023.06.22
197,"Going, Going, Gone",Luke Combs,COLUMBIA NASHVILLE,CLNV,30,,196,27,Country,04/22/2022,30186,,,330,3923062,154511,29856,2023.06.22
198,Glock In My Lap,21 Savage & Metro Boomin,EPIC,EPIC,7,180,172,29,R&B/Hip-Hop,10/02/2020,30142,-4.4,31533,67,4277936,300075,30075,2023.06.22
199,She Got the Best of Me,Luke Combs,COLUMBIA NASHVILLE,CLNV,40,197,,70,Country,05/31/2018,30073,-1.1,30410,249,3945620,186050,29824,2023.06.22
200,family ties,Baby Keem & Kendrick Lamar,COLUMBIA,COL,11,191,186,85,R&B/Hip-Hop,08/25/2021,29937,-3.0,30861,159,4086402,204353,29778,2023.06.22
1,Last Night,Morgan Wallen,MERCURY / BIG LOUD / REPUBLIC RECORDS,R-MR,1,1,1,22,Country,05/06/2022,193958,-0.2,194439,7599,23847775,2071938,186359,2023.06.29
2,Fast Car,Luke Combs,COLUMBIA NASHVILLE,CLNV,2,2,2,14,Country,01/27/2023,144379,1.2,142698,9361,17159451,1135010,135018,2023.06.29
3,Barbie World (From Barbie The Album),"Nicki Minaj, Ice Spice & Aqua",ATLANTIC GROUP,ATLG,3,,,1,R&B/Hip-Hop,06/21/2023,143072,,,37016,12772802,2856414,106056,2023.06.29
4,Fukumean,Gunna,300 ENTERTAINME,300E,4,5,,2,R&B/Hip-Hop,06/16/2023,132292,16.5,113544,617,17205665,797657,131675,2023.06.29
5,Ella Baila Sola,Eslabon Armado,DEL RECORDS,DLRI,1,3,3,15,Latin,02/16/2023,117819,-7.5,127309,1107,15781285,2151069,116712,2023.06.29
6,All My Life,Lil Durk Feat. J. Cole,Alamo Records,ALAM,2,4,4,7,R&B/Hip-Hop,05/05/2023,115393,-8.1,125573,2480,14217859,2877142,112913,2023.06.29
7,Oh U Went,Young Thug,300 ENTERTAINME,300E,7,,,1,R&B/Hip-Hop,06/23/2023,112738,,,1134,14232832,650874,111604,2023.06.29
8,Something In The Orange,Zach Bryan,Warner Records,WAR,3,7,6,62,Country,04/22/2022,107905,3.4,104358,2256,13544741,888424,105649,2023.06.29
9,Favorite Song,Toosii,CAPITOL RECORDS,CAP,5,6,5,19,R&B/Hip-Hop,01/30/2023,103288,-5.8,109604,1907,12469922,3705175,101381,2023.06.29
10,Cruel Summer,Taylor Swift,REPUBLIC RECORDS,R-RR,6,13,27,21,Pop,08/20/2019,100117,13.8,88002,3378,12680165,364099,96739,2023.06.29
11,Sabor Fresa,Fuerza Regida,SONY MUSIC LATIN,SML,11,,,1,Latin,06/22/2023,96959,,,681,11729654,2443996,96278,2023.06.29
12,Thinkin' Bout Me,Morgan Wallen,MERCURY / BIG LOUD / REPUBLIC RECORDS,R-MR,5,8,9,17,Country,03/03/2023,96555,3.3,93460,2669,11979156,724189,93886,2023.06.29
13,Luna,Peso Pluma,THE ORCHARD,ORCH,13,,,1,Latin,06/22/2023,91584,,,502,11755462,1036555,91082,2023.06.29
14,Lady Gaga,"Peso Pluma, Gabito Ballesteros, Junior H",THE ORCHARD,ORCH,14,,,1,Latin,06/13/2023,89008,,,502,11685580,616051,88506,2023.06.29
15,Kill Bill,Sza, RCA,RCA,1,11,10,29,R&B/Hip-Hop,12/08/2022,87744,-2.5,89964,794,11827248,718215,86950,2023.06.29
16,Flowers,Miley Cyrus,COLUMBIA,COL,1,12,12,24,Pop,01/13/2023,87277,-1.8,88899,4421,10271275,1418876,82856,2023.06.29
17,Calm Down,Rema & Selena Gomez,VIRGIN MUSIC GROUP,CIT,10,14,13,44,World Music,08/25/2022,85107,-1.3,86197,3749,10065361,1497105,81358,2023.06.29
18,La Bebe,Yng Lvcas, WEA LATINA,WEAL,5,10,8,15,Latin,09/14/2021,84919,-5.6,89998,710,10789986,2463824,84209,2023.06.29
19,Parade On Cleveland,Young Thug,300 ENTERTAINME,300E,19,,,1,R&B/Hip-Hop,06/23/2023,84757,,,651,10536544,681154,84106,2023.06.29
20,You Proof,Morgan Wallen,MERCURY / BIG LOUD / REPUBLIC RECORDS,R-MR,4,16,15,59,Country,03/26/2022,83798,1.6,82450,1051,10874297,497068,82747,2023.06.29
21,Un X100to,"Grupo Frontera, Bad Bunny",THE ORCHARD,ORCH,3,17,11,11,Latin,04/16/2023,79125,-4.0,82397,613,10105803,1755062,78512,2023.06.29
22,Need A Favor,Jelly Roll,BROKEN BOW RECO,BB2 ,22,23,29,13,Country,12/09/2022,75159,3.4,72674,5001,8875245,577147,70158,2023.06.29
23,Where She Goes,Bad Bunny,,,3,18,7,6,Latin,05/17/2023,74769,-8.7,81875,569,9478103,996805,74200,2023.06.29
24,Wasted On You,Morgan Wallen,BIG LOUD / REPUBLIC RECORDS,R-RR,3,24,30,129,Country,01/08/2021,74512,2.9,72418,1337,9521628,983473,73175,2023.06.29
25,Anti-Hero,Taylor Swift,REPUBLIC RECORDS,R-RR,1,19,23,36,Pop,10/20/2022,73880,-3.2,76329,2337,9227731,408542,71543,2023.06.29
26,Tqm,Fuerza Regida,SONY MUSIC LATIN,SML,16,28,17,6,Latin,05/18/2023,71038,1.4,70089,251,9038086,1764198,70787,2023.06.29
27,Cupid,Fifty Fifty,WARNER RECORDS,WAR ,7,26,22,16,World Music,02/24/2023,70155,-1.4,71121,1456,9762942,123335,68699,2023.06.29
28,Bye,Peso Pluma,THE ORCHARD,ORCH,28,37,34,5,Latin,05/18/2023,69688,11.6,62442,18,9132571,1504802,69670,2023.06.29
29,Karma,Taylor Swift,REPUBLIC RECORDS,R-RR,3,20,14,26,Pop,10/20/2022,69469,-8.3,75759,2359,8720254,506622,67110,2023.06.29
30,Religiously,Bailey Zimmerman, WARNER Records,WAR ,30,35,38,9,Country,03/17/2023,69210,8.9,63535,1972,8657889,245753,67238,2023.06.29
31,Search & Rescue,Drake,OVO / REPUBLIC RECORDS,R-RR,1,25,18,12,R&B/Hip-Hop,04/06/2023,67897,-5.2,71618,608,8749963,638774,67289,2023.06.29
32,Snooze,Sza,RCA,RCA,10,33,33,29,R&B/Hip-Hop,12/09/2022,66927,3.5,64685,1108,8348901,1306729,65819,2023.06.29
33,Cars Bring Me Out,Young Thug Feat. Future,300 ENTERTAINME,300E,33,,,1,R&B/Hip-Hop,06/23/2023,66340,,,193,8403511,374305,66147,2023.06.29
34,Stand By Me,Lil Durk Feat. Morgan Wallen,Alamo Records,ALAM,8,22,19,5,Pop,05/12/2023,64793,-12.8,74270,2355,8168433,227330,62438,2023.06.29
35,Vvs,Peso Pluma,THE ORCHARD,ORCH,35,,,1,Latin,02/10/2023,63353,,,293,8258315,441580,63060,2023.06.29
36,Die For You,Weeknd,XO / REPUBLIC RECORDS,R-RR,1,34,31,104,R&B/Hip-Hop,11/25/2016,63207,-2.2,64658,384,8794729,665133,62823,2023.06.29
37,Sunflower,Post Malone & Swae Lee,REPUBLIC RECORDS,R-RR,1,36,35,244,R&B/Hip-Hop,10/17/2018,62228,-2.0,63513,737,7886275,1140443,61491,2023.06.29
38,Area Codes,Kali,ATLANTIC GROUP,ATLG,17,29,25,8,R&B/Hip-Hop,03/17/2023,62079,-8.5,67861,979,8076280,1129842,61100,2023.06.29
39,Rock And A Hard Place,Bailey Zimmerman,Warner Music Nashville,WNS,11,38,40,55,Country,06/10/2022,61937,0.4,61693,1212,7825150,698785,60725,2023.06.29
40,Thought You Should Know,Morgan Wallen,MERCURY / BIG LOUD / REPUBLIC RECORDS,R-MR,9,39,41,60,Country,04/29/2022,61802,0.7,61392,1845,7627730,671533,59957,2023.06.29
41,Put It On Da Floor,Latto, RCA,RCA,6,31,20,4,R&B/Hip-Hop,04/20/2023,61187,-8.0,66498,1012,6684822,3135849,60175,2023.06.29
42,Wit Da Racks,Young Thug,300 ENTERTAINME,300E,42,,,1,R&B/Hip-Hop,06/23/2023,60886,,,273,7745331,326978,60613,2023.06.29
43,Doomsday (With Juice Wrld & Cordae),"Cordae, Juice Wrld, Lyrical Lemonade",DEF JAM/DEF SOUL,DEF,43,,,1,R&B/Hip-Hop,06/23/2023,59453,,,861,6776249,2184348,58592,2023.06.29
44,Want Me Dead,Young Thug Feat. 21 Savage,300 ENTERTAINME,300E,44,,,1,R&B/Hip-Hop,06/23/2023,59230,,,288,7424943,443860,58942,2023.06.29
45,Memory Lane,Old Dominion,,,45,71,56,6,Country,12/08/2022,58511,24.9,46848,1078,7438262,82531,57433,2023.06.29
46,As It Was,Harry Styles,Columbia Records,COL ,1,45,48,65,Pop,03/30/2022,57948,2.2,56695,839,7505982,509261,57109,2023.06.29
47,Sure Thing,Miguel, RCA,RCA,12,40,39,36,R&B/Hip-Hop,07/30/2010,57896,-4.0,60296,992,7574309,660674,56904,2023.06.29
48,BZRP Music Session #55,Peso Pluma & BZRP,THE ORCHARD,ORCH,16,27,16,4,Latin,03/22/2023,57672,-18.0,70319,239,7595779,940823,57433,2023.06.29
49,One Thing At A Time,Morgan Wallen,MERCURY / BIG LOUD / REPUBLIC RECORDS,R-MR,9,44,42,30,Country,12/02/2022,57442,-0.1,57516,1046,7244420,262148,56396,2023.06.29
50,Rubicon,Peso Pluma,THE ORCHARD,ORCH,50,,,1,Latin,06/22/2023,56491,,,501,6881526,1279598,55990,2023.06.29
51,Boy's A Liar,Pinkpantheress,NEW ELEKTRA,NELK,1,42,37,22,Pop,11/24/2022,55882,-4.7,58611,566,7775177,730590,55316,2023.06.29
52,Daylight,David Kushner,DAVID KUSHNER,DVK,28,50,47,11,Pop,03/29/2023,55230,1.1,54616,1293,7090748,677675,53937,2023.06.29
53,Tennessee Whiskey,Chris Stapleton,MERCURY NASHVILLE,MERN,39,57,54,354,Country,12/29/2014,54714,4.1,52561,1294,6591056,1027146,53420,2023.06.29
54,Back To The Moon,Gunna,300 ENTERTAINME,300E,9,9,,2,R&B/Hip-Hop,06/16/2023,54614,-41.4,93221,174,6932597,721949,54440,2023.06.29
55,Creepin',"Metro Boomin, The Weeknd & 21 Savage",REPUBLIC RECORDS,R-RR,2,48,43,30,R&B/Hip-Hop,12/02/2022,54261,-2.8,55825,586,7214854,384378,53675,2023.06.29
56,Next Thing You Know,Jordan Davis,MCA NASHVILLE,MCAN,47,61,57,24,Country,08/12/2022,53363,7.8,49516,2074,6697937,347167,51289,2023.06.29
57,The Kind Of Love We Make,Luke Combs,COLUMBIA NASHVILLE,CLNV,7,53,51,54,Country,04/22/2022,53261,-0.2,53392,608,6799828,385455,52653,2023.06.29
58,Golden Hour,Jvke,AWAL,AWAL,10,52,52,45,Pop,08/05/2021,52564,-1.7,53469,677,6975174,768555,51887,2023.06.29
59,Attention,Doja Cat, RCA,RCA,15,15,,2,R&B/Hip-Hop,06/15/2023,52364,-38.6,85250,715,6599079,547226,51649,2023.06.29
60,Hellcat Kenny,Young Thug Feat. Lil Uzi Vert,300 ENTERTAINME,300E,60,,,1,R&B/Hip-Hop,06/23/2023,51626,,,167,6614080,238884,51459,2023.06.29
61,Peaches & Eggplants,Young Nudy Feat. 21 Savage, RCA,RCA,61,75,87,6,R&B/Hip-Hop,02/28/2023,50732,10.7,45833,368,6312036,1498412,50364,2023.06.29
62,Heat Waves,Glass Animals,REPUBLIC RECORDS,R-RR,3,56,63,130,Rock,06/29/2020,50542,-4.5,52912,612,6476503,576263,49930,2023.06.29
63,Whiskey Glasses,Morgan Wallen,"BIG LOUD RECORDS, LLC",BGL ,16,66,68,229,Country,07/29/2016,50500,4.1,48488,1057,6499500,449980,49443,2023.06.29
64,Tennessee Orange,Megan Moroney,ARISTA NASHVILLE,ARNV,33,73,81,40,Country,09/02/2022,50159,8.6,46201,1553,6351211,368875,48606,2023.06.29
65,See You Again,"Tyler, The Creator", ODD FUTURE RECORDINGS,ODD ,24,54,46,24,R&B/Hip-Hop,07/06/2017,50022,-6.3,53381,178,7186664,565624,49844,2023.06.29
66,Chasin' You,Morgan Wallen,"BIG LOUD RECORDS, LLC",BGL ,24,68,62,169,Country,04/12/2018,49988,3.3,48395,686,6446801,407507,49302,2023.06.29
67,Calling (Spider-Man: Across The Spider-Verse),"Metro Boomin, Swae Lee & Nav Feat. A Boogie Wit Da Hoodie",REPUBLIC RECORDS,R-RR,23,41,24,4,R&B/Hip-Hop,06/01/2023,49540,-17.0,59665,269,6571366,410420,49271,2023.06.29
68,PRC,Peso Pluma X Natanael Cano,,,18,55,44,8,Latin,12/13/2022,49281,-7.2,53086,249,6703109,997433,49032,2023.06.29
69,I Ain't Worried,Onerepublic,INTERSCOPE/GEFFEN/A&M,INT ,9,64,66,56,Pop,05/12/2022,48934,0.3,48767,1155,6317542,255399,47779,2023.06.29
70,El Azul,Junior H & Peso Pluma, WEA LATINA,WEAL,33,60,49,14,Latin,02/10/2023,48520,-4.8,50954,127,6688265,767694,48393,2023.06.29
71,Money On The Dresser,Young Thug,300 ENTERTAINME,300E,71,,,1,R&B/Hip-Hop,06/23/2023,48471,,,119,6129122,247019,48352,2023.06.29
72,Annihilate,"Metro Boomin, Swae Lee, Lil Wayne & Offset",REPUBLIC RECORDS,R-RR,25,43,26,4,R&B/Hip-Hop,06/02/2023,48170,-17.2,58143,359,6247777,647124,47811,2023.06.29
73,Por Las Noches,Peso Pluma,SONY MUSIC LATIN,SML,16,58,45,17,Latin,06/12/2021,48086,-8.4,52520,151,6539953,1223079,47935,2023.06.29
74,Bury Me In Georgia,Kane Brown,RCA NASHVILLE,RCNA,74,157,177,5,Country,07/22/2022,47678,43.3,33269,2505,5755633,152037,45173,2023.06.29
75,Uncle M,Young Thug,300 ENTERTAINME,300E,75,,,1,R&B/Hip-Hop,06/23/2023,47541,,,116,6026332,236956,47425,2023.06.29
76,Dreams,Fleetwood Mac,WARNER RECORDS,WAR ,3,70,72,148,Rock,07/07/1977,46913,-1.9,47814,654,5876146,402999,46259,2023.06.29
77,Wait For U,Future Feat. Drake & Tems,EPIC,EPIC,1,67,53,61,R&B/Hip-Hop,04/27/2022,46750,-3.5,48460,124,6145723,609821,46626,2023.06.29
78,Dial Drunk,Noah Kahan,MERCURY / REPUBLIC RECORDS,R-MR,21,59,21,3,Rock,10/14/2022,46481,-11.2,52333,528,5839077,100337,45953,2023.06.29
79,Rodeo Dr,Gunna,300 ENTERTAINME,300E,21,21,,2,R&B/Hip-Hop,06/16/2023,46248,-38.1,74673,64,5951260,176484,46184,2023.06.29
80,No Role Modelz,J. Cole,Columbia Records,COL ,33,74,61,216,R&B/Hip-Hop,08/04/2015,46105,0.0,46104,132,6349521,454358,45973,2023.06.29
81,Superhero (Heroes & Villains),"Metro Boomin, Future & Chris Brown",REPUBLIC RECORDS,R-RR,4,69,50,30,R&B/Hip-Hop,12/02/2022,46092,-4.7,48388,416,6148419,370218,45676,2023.06.29
82,Dance The Night,Dua Lipa,ATLANTIC GROUP,ATLG,51,88,73,5,Children,05/25/2023,46060,7.5,42827,2964,5566408,208023,43096,2023.06.29
83,Self Love,"Metro Boomin, Coi Leray",REPUBLIC RECORDS,R-RR,36,46,36,4,R&B/Hip-Hop,06/02/2023,45868,-18.3,56174,417,6018393,342317,45451,2023.06.29
84,Son Of A Sinner,Jelly Roll,BROKEN BOW RECO,BB2 ,31,62,60,53,Rock,09/15/2021,45384,-7.1,48829,2779,5377645,683913,42605,2023.06.29
85,Chemical,Post Malone,MERCURY / REPUBLIC RECORDS,R-MR,11,81,74,11,Pop,04/13/2023,45358,2.7,44177,1869,5532267,333748,43489,2023.06.29
86,Nueva Vida,Peso Pluma,THE ORCHARD,ORCH,86,,,1,Latin,06/22/2023,45344,,,180,5620630,830267,45164,2023.06.29
87,Cowgirls,Morgan Wallen,MERCURY / BIG LOUD / REPUBLIC RECORDS,R-MR,22,78,64,17,Country,03/01/2023,45167,0.6,44876,916,5688831,386090,44251,2023.06.29
88,Thank God,Kane Brown w/ Katelyn Brown,RCA NASHVILLE,RCNA,8,95,95,42,Country,09/09/2022,44927,7.2,41910,1715,5429172,518281,43212,2023.06.29
89,Bread & Butter,Gunna,300 ENTERTAINME,300E,27,32,88,4,R&B/Hip-Hop,06/02/2023,44769,-31.1,64994,59,5685352,604818,44710,2023.06.29
90,Love You Anyway,Luke Combs,COLUMBIA NASHVILLE,CLNV,5,76,69,20,Country,01/23/2023,44650,-1.6,45379,1640,5410691,314011,43010,2023.06.29
91,Princess Diana,Ice Spice,TENTHOUSAND PROJECTS/CAPITOL,10K,2,83,70,11,R&B/Hip-Hop,01/20/2023,44629,1.6,43909,744,5558686,1089815,43885,2023.06.29
92,Dancin' In The Country,Tyler Hubbard,MCA NASHVILLE,MCAN,37,87,84,13,Country,08/19/2022,44607,3.7,43008,1550,5603326,200586,43057,2023.06.29
93,Lagunas,Peso Pluma,THE ORCHARD,ORCH,93,,,1,Latin,06/22/2023,44575,,,121,5670475,502589,44454,2023.06.29
94,Am I Dreaming,"Metro Boomin, A$ap Rocky & Roisee",REPUBLIC RECORDS,R-RR,31,51,32,4,R&B/Hip-Hop,06/02/2023,44564,-17.0,53661,633,5722300,447892,43931,2023.06.29
95,She Had Me At Heads Carolina,Cole Swindell,Warner Music Nashville,WNS,15,86,89,58,Country,04/08/2022,44178,2.4,43129,1301,5539551,247035,42877,2023.06.29
96,Freestyle,Lil Baby,QUALITY CONTROL MUSIC (CAROLINE),QLC ,32,72,58,56,R&B/Hip-Hop,12/01/2017,43980,-5.1,46358,41,5697672,544939,43939,2023.06.29
97,Jimmy Cooks,Drake Feat. 21 Savage,OVO / REPUBLIC RECORDS,R-RR,1,80,71,54,R&B/Hip-Hop,06/16/2022,43725,-1.6,44420,179,5852740,227450,43546,2023.06.29
98,Rosa Pastel,Peso Pluma,THE ORCHARD,ORCH,98,,,2,Latin,04/20/2023,43386,,,-85,5628275,557047,43471,2023.06.29
99,I'm Good (Blue),David Guetta & Bebe Rexha,WARNER RECORDS,WAR ,11,89,99,44,Dance/Electronic,08/23/2022,43171,0.9,42768,1410,5340772,452221,41761,2023.06.29
100,Abracadabra,Young Thug Feat. Travis Scott,300 ENTERTAINME,300E,100,,,1,R&B/Hip-Hop,11/05/2022,43026,,,143,5425797,253269,42883,2023.06.29
101,Just Wanna Rock,Lil Uzi Vert,ATLANTIC GROUP,ATLG,6,90,79,37,R&B/Hip-Hop,10/07/2022,43002,0.7,42715,500,5681919,1049963,42502,2023.06.29
102,Blank Space,Taylor Swift,BIG MACHINE,BGMA,82,91,82,16,Pop,08/23/2010,42977,1.4,42380,480,5551311,523737,42497,2023.06.29
103,Rich Flex,Drake & 21 Savage,OVO / REPUBLIC RECORDS,R-RR,1,84,65,34,R&B/Hip-Hop,11/03/2022,42507,-1.9,43316,240,5752396,218344,42267,2023.06.29
104,Gucci Grocery Bag,Young Thug,300 ENTERTAINME,300E,104,,,1,R&B/Hip-Hop,01/17/2023,42448,,,111,5366211,228961,42337,2023.06.29
105,Ain't That Some,Morgan Wallen,MERCURY / BIG LOUD / REPUBLIC RECORDS,R-MR,7,100,85,17,Country,01/28/2023,42285,3.1,41004,470,5437127,251786,41815,2023.06.29
106,Carnal,Peso Pluma,THE ORCHARD,ORCH,106,,,1,Latin,06/22/2023,42223,,,98,5325139,537871,42125,2023.06.29
107,Beautiful Crazy,Luke Combs,CLNV,CLNV,26,96,86,259,Country,05/24/2018,41699,1.0,41281,489,5338464,474806,41210,2023.06.29
108,Slut Me Out,Nle Choppa,Warner Records,WAR,14,77,59,20,R&B/Hip-Hop,04/01/2022,41649,-7.9,45245,228,5673046,815159,41421,2023.06.29
109,Until I Found You,Stephen Sanchez,MERCURY / REPUBLIC RECORDS,R-MR,24,92,76,59,Rock,09/01/2021,41498,-2.1,42370,973,5586212,488790,40525,2023.06.29
110,Jonesboro,Young Thug,300 ENTERTAINME,300E,110,,,1,R&B/Hip-Hop,06/23/2023,41154,,,108,5189791,264712,41046,2023.06.29
111,Money Trees,Kendrick Lamar Feat. Jay Rock,INTERSCOPE/GEFFEN/A&M,INT ,80,99,80,54,R&B/Hip-Hop,09/27/2012,41151,-0.2,41228,200,5459368,506515,40951,2023.06.29
112,Fall In Love,Bailey Zimmerman,Warner Music Nashville,WNS,22,101,108,67,Country,02/11/2022,41110,0.6,40868,444,5241005,422268,40666,2023.06.29
